first_name,last_name,born,Pos,birth_city,birth_state
BOB,COUSY*,1928,PG,New York,New York
DILLARD,CROCKER,1925,PF,Coffee County,Tennessee
BOB,DAVIES*,1920,PG,Harrisburg,Pennsylvania
DIKE,EDDLEMAN,1922,SF,Centralia,Illinois
JERRY,FLEISHMAN,1922,SG,Brooklyn,New York
LARRY,FOUST,1928,C,Painesville,Ohio
JOE,FULKS*,1921,PF,Birmingham,Kentucky
HARRY,GALLATIN*,1927,PF,Roxana,Illinois
DICK,GROAT,1930,PG,Wilkinsburg,Pennsylvania
ALEX,HANNUM*,1923,PF,Los Angeles,California
BOB,HARRIS,1927,SF,Linden,Tennessee
BOB,HARRISON,1927,SG,Linden,Tennessee
KLEGGIE,HERMSEN,1923,C-F,Hill City,Minnesota
KLEGGIE,HERMSEN,1923,C-F,Hill City,Minnesota
KLEGGIE,HERMSEN,1923,C-F,Hill City,Minnesota
LEW,HITCH,1929,PF,Griggsville,Illinois
RED,HOLZMAN*,1920,PG,Brooklyn,New York
MEL,HUTCHINS,1928,C,Sacramento,California
ARNIE,JOHNSON,1920,SF,Gonvick,Minnesota
NEIL,JOHNSTON*,1929,C,Chillicothe,Ohio
GEORGE,KAFTAN,1928,SF,New York,New York
GEORGE,KING,1928,PG,Charleston,West Virginia
ANDREW,LEVANE,1920,SG,Brooklyn,New York
DON,LOFGRAN,1928,SF,Oakland,California
RAY,LUMPP,1923,PG,Brooklyn,New York
RAY,LUMPP,1923,G,Brooklyn,New York
RAY,LUMPP,1923,PG,Brooklyn,New York
ED,MACAULEY*,1928,C,St. Louis,Missouri
JOHN,MAHNKEN,1922,C,New Jersey,New Jersey
SLATER,MARTIN*,1925,PG,El Mina,Texas
JACK,MCCLOSKEY,1925,SG,Mahanoy City,Pennsylvania
ALFRED,MCGUIRE*,1928,PG,New York,New York
DICK,MCGUIRE*,1926,PG,Huntington,New York
MONK,MEINEKE,1930,PF,Dayton,Ohio
GEORGE,MIKAN*,1924,C,Joliet,Illinois
VERN,MIKKELSEN*,1928,PF,Fresno,California
DAVE,MINOR,1922,PG,Missouri,Unknown
DAVE,MINOR,1922,G-F,Missouri,Unknown
DAVE,MINOR,1922,PG,Missouri,Unknown
BILL,MLKVY,1931,SF,Palmerton,Pennsylvania
RALPH,O'BRIEN,1928,PG,Henshaw,Kentucky
RALPH,O'BRIEN,1928,G,Henshaw,Kentucky
RALPH,O'BRIEN,1928,G,Henshaw,Kentucky
RALPH,O'BRIEN,1928,PG,Henshaw,Kentucky
KEVIN,O'SHEA,1925,SG,San Francisco,California
DON,OTTEN,1921,C,Bellefontaine,Ohio
ANDY,PHILLIP*,1922,G-F,Granite City,Illinois
JIM,POLLARD*,1922,SF,Oakland,California
GEORGE,RATKOVICZ,1922,PF,Chicago,Illinois
GEORGE,RATKOVICZ,1922,PF,Chicago,Illinois
GEORGE,RATKOVICZ,1922,PF,Chicago,Illinois
ARNIE,RISEN*,1924,C,Williamstown,Kentucky
RED,ROCHA,1923,C,Hilo,Hawaii
KENNY,ROLLINS,1923,PG,Charlestown,Missouri
FRED,SCHAUS,1925,SF,Newark,Ohio
DOLPH,SCHAYES*,1928,PF,New York,New York
HOWIE,SCHULTZ,1922,PF,St. Paul,Minnesota
FRED,SCOLARI,1922,PG,San Francisco,California
FRED,SCOLARI,1922,PG,San Francisco,California
FRED,SCOLARI,1922,PG,San Francisco,California
GEORGE,SENESKY,1922,PG,Mahanoy City,Pennsylvania
PAUL,SEYMOUR,1928,SG,Toledo,Ohio
BILL,SHARMAN*,1926,SG,Abilene,Texas
CONNIE,SIMMONS,1925,C,Newark,New Jersey
WHITEY,SKOOG,1926,SG,Duluth,Minnesota
ERNIE,VANDEWEGHE,1928,SG,Montreal,Canada
PAUL,WALTHER,1927,SG,Covington,Kentucky
BOBBY,WANZER*,1921,SG,Brooklyn,New York
MARK,WORKMAN,1930,PF,Charleston,West Virginia
MARK,WORKMAN,1930,PF,Charleston,West Virginia
MARK,WORKMAN,1930,F-C,Charleston,West Virginia
MAX,ZASLOFSKY,1925,SG,Brooklyn,New York
ZEKE,ZAWOLUK,1930,PF,Brooklyn,New York
DON,ACKERMAN,1930,PG,New York,New York
