_c0,Player,height,weight,collage,born,birth_city,birth_state,First_Name,Last_Name
974,Paul Westphal,193,88,University of Southern California,1950,Torrance,California,Paul,Westphal
975,Harthorne Wingo,198,95,Friendship Junior College,1947,Tryon,North Carolina,Harthorne,Wingo
976,Joby Wright,203,99,Indiana University,1950,Unknown,Unknown,Joby,Wright
977,Mike Bantom,206,90,Saint Joseph's University,1951,Philadelphia,Pennsylvania,Mike,Bantom
978,Ron Behagen,206,83,University of Minnesota,1951,New York,New York,Ron,Behagen
979,Dennis Bell,196,83,Drake University,1951,Cincinnati,Ohio,Dennis,Bell
980,Jim Brewer,206,95,University of Minnesota,1951,Maywood,Illinois,Jim,Brewer
981,Allan Bristow,201,95,Virginia Polytechnic Institute and State University,1951,Richmond,Virginia,Allan,Bristow
982,John Brown,201,99,University of Missouri,1951,Frankfurt,Germany,John,Brown
983,Larry Cannon,193,88,La Salle University,1947,Philadelphia,Pennsylvania,Larry,Cannon
984,Bill Chamberlain,198,85,University of North Carolina,1949,Unknown,Unknown,Bill,Chamberlain
985,Ken Charles,190,81,Fordham University,1951,Trinidad and Tobago,Unknown,Ken,Charles
986,E.C. Coleman,190,81,Unknown,1951,Unknown,Unknown,E.C.,Coleman
987,Doug Collins,198,81,Illinois State University,1951,Christopher,Illinois,Doug,Collins
988,Mike D'Antoni,190,83,Marshall University,1951,Mullens,West Virginia,Mike,D'Antoni
989,Mel Davis,198,99,St. John's University,1950,New York,New York,Mel,Davis
990,Derrek Dickey,201,98,University of Cincinnati,1951,Cincinnati,Ohio,Derrek,Dickey
991,Ernie DiGregorio,183,81,Providence College,1951,North Providence,Rhode Island,Ernie,DiGregorio
992,Steve Downing,203,102,Indiana University,1950,Indianapolis,Indiana,Steve,Downing
993,Rod Freeman,201,102,Vanderbilt University,1950,Unknown,Unknown,Rod,Freeman
994,Bernie Fryer,190,83,Brigham Young University,1949,Bellingham,Washington,Bernie,Fryer
995,Jim Garvin,201,90,Boston University,1950,Unknown,Unknown,Jim,Garvin
996,Phil Hankinson,203,88,University of Pennsylvania,1951,Augusta,Georgia,Phil,Hankinson
997,Nate Hawthorne,193,86,Southern Illinois University,1950,Mt. Vernon,Illinois,Nate,Hawthorne
998,Tom Ingelsby,190,81,Villanova University,1951,Philadelphia,Pennsylvania,Tom,Ingelsby
999,Dwight Jones,208,95,University of Houston,1952,Houston,Texas,Dwight,Jones
1000,Ben Kelso,190,88,Central Michigan University,1949,Unknown,Unknown,Ben,Kelso
1001,Tom Kozelko,203,99,University of Toledo,1951,Traverse City,Michigan,Tom,Kozelko
1002,Kevin Kunnert,213,104,University of Iowa,1951,Dubuque,Iowa,Kevin,Kunnert
1003,Mike Macaluso,196,95,Canisius College,1951,Unknown,Unknown,Mike,Macaluso
1004,Ted Manakas,188,81,Princeton University,1951,Unknown,Unknown,Ted,Manakas
1005,Vester Marshall,201,90,University of Oklahoma,1948,Unknown,Unknown,Vester,Marshall
1006,Allie McGuire,188,81,St. John's University,1928,New York,New York,Allie,McGuire
1007,Larry McNeill,206,88,Marquette University,1951,Hoke,North Carolina,Larry,McNeill
1008,Gary Melchionni,188,83,Duke University,1951,Camden,New Jersey,Gary,Melchionni
1009,Louie Nelson,190,86,University of Washington,1951,Los Angeles,California,Louie,Nelson
1010,Jim Owens,196,90,Arizona State University,1950,Los Angeles,California,Jim,Owens
1011,Ed Ratleff,198,88,"California State University, Long Beach",1950,Bellefontaine,Ohio,Ed,Ratleff
1012,Joe Reaves,196,95,Bethel College,1950,Unknown,Unknown,Joe,Reaves
1013,Mark Sibley,188,79,Northwestern University,1950,Unknown,Unknown,Mark,Sibley
1014,Bob Verga,185,86,Duke University,1945,Neptune,New Jersey,Bob,Verga
1015,Kermit Washington,203,104,American University,1951,Washington,District of Columbia,Kermit,Washington
1016,Slick Watts,185,79,Xavier University of Louisiana,1951,Rolling Ford,Mississippi,Slick,Watts
